=== lm_v3_chunked (2-block, chunked sampling from full optim.rail) ===
corpus chars=10901  vocab size=94
corpus encoded to arr (10901 ids)
seq_len=512  max offset=10388
[tgl_init] dylib=$HOME/projects/rail/tools/metal/libtensor_gpu.dylib src_path=$HOME/projects/rail/tools/metal/tensor_gpu.metal
[tgl_init] OK — 38 functions
initial loss (on one sampled chunk)=8.62960223571262  uniform=4.54329478227
training 10000 steps...
step 319  lr=0.0199758613603469  loss=3.02542210148538
step 320  lr=0.0199756405025982  loss=2.92945965598009
step 321  lr=0.0199754186403029  loss=2.38385847229124
step 322  lr=0.0199751957734831  loss=3.07929801989209
step 323  lr=0.0199749719021615  loss=2.26936909924284
step 324  lr=0.0199747470263604  loss=2.97027311713639
step 325  lr=0.0199745211461025  loss=2.93664677767311
step 326  lr=0.0199742942614107  loss=3.1403111790977
step 327  lr=0.0199740663723077  loss=3.05264712543302
step 328  lr=0.0199738374788165  loss=3.11796505853949
step 329  lr=0.0199736075809601  loss=3.21265125972822
step 330  lr=0.0199733766787617  loss=2.90753817109089
step 331  lr=0.0199731447722446  loss=2.36248513310394
step 332  lr=0.019972911861432  loss=2.17773858909819
step 333  lr=0.0199726779463475  loss=3.21680711243539
step 334  lr=0.0199724430270146  loss=2.14467950664668
step 335  lr=0.019972207103457  loss=2.93015525241328
step 336  lr=0.0199719701756984  loss=2.22820991716571
step 337  lr=0.0199717322437626  loss=3.36722125117569
step 338  lr=0.0199714933076737  loss=3.30018160067423
step 339  lr=0.0199712533674557  loss=3.14950132971321
step 340  lr=0.0199710124231328  loss=2.25315120754651
step 341  lr=0.0199707704747291  loss=2.57240542663825
step 342  lr=0.0199705275222692  loss=3.02027750963086
step 343  lr=0.0199702835657774  loss=3.36582938578012
step 344  lr=0.0199700386052783  loss=2.10845684974708
step 345  lr=0.0199697926407966  loss=2.0275556735236
step 346  lr=0.0199695456723571  loss=3.28178214902494
step 347  lr=0.0199692976999846  loss=3.28399967647804
step 348  lr=0.0199690487237041  loss=2.07012116848599
step 349  lr=0.0199687987435406  loss=3.19121341652956
step 350  lr=0.0199685477595194  loss=3.0374938905606
step 351  lr=0.0199682957716657  loss=2.21906220475531
step 352  lr=0.0199680427800049  loss=3.1608134225963
step 353  lr=0.0199677887845625  loss=2.11724199444906
step 354  lr=0.019967533785364  loss=1.59536210473146
step 355  lr=0.0199672777824351  loss=3.01022963893282
step 356  lr=0.0199670207758016  loss=3.15322803580342
step 357  lr=0.0199667627654894  loss=3.10286158571226
step 358  lr=0.0199665037515245  loss=2.51688247603282
step 359  lr=0.0199662437339329  loss=3.15548961307407
step 360  lr=0.0199659827127408  loss=1.85372426531443
step 361  lr=0.0199657206879746  loss=3.13515029169021
step 362  lr=0.0199654576596605  loss=3.17192528445141
step 363  lr=0.0199651936278251  loss=3.07803720593739
step 364  lr=0.019964928592495  loss=2.1418715019941
step 365  lr=0.0199646625536969  loss=3.11135242454824
step 366  lr=0.0199643955114575  loss=2.66380818786537
step 367  lr=0.0199641274658038  loss=3.0689623897801
step 368  lr=0.0199638584167627  loss=2.95975054434862
step 369  lr=0.0199635883643614  loss=2.52163381071516
step 370  lr=0.0199633173086269  loss=3.15467852689344
step 371  lr=0.0199630452495867  loss=3.27299928635299
step 372  lr=0.0199627721872681  loss=3.14627557242296
step 373  lr=0.0199624981216986  loss=3.16697739817222
step 374  lr=0.0199622230529058  loss=3.40256183181434
step 375  lr=0.0199619469809175  loss=3.32585380023177
step 376  lr=0.0199616699057613  loss=3.28570552512838
step 377  lr=0.0199613918274653  loss=3.10140093528151
step 378  lr=0.0199611127460573  loss=2.55452915983646
step 379  lr=0.0199608326615656  loss=2.67055426499464
step 380  lr=0.0199605515740183  loss=3.70077742355731
step 381  lr=0.0199602694834438  loss=2.70879310315742
